LicenseNumber,LicenseType,LicenseStatus,LicenseSubStatus,BusinessName,LocationStreetAddress,LocationCity,LocationState,LocationZip,LocationCounty,Phone,Fax,FirstIssuanceDate,LicenseEffectiveDate,LicenseExpirationDate,BoardAction,Designated Representative License Number,Designated Representative,Latitude,Longitude
MMD.0700025,Medical Marijuana Dispensary - Certificate of Operation,Active,,Bloom Medicinals,1361 Georgesville Rd,Columbus,OH,43228-3611,Franklin,(614) 407-1616,Bloom Medicinals,2019.07.26,2023.07.02,2025.07.01,No,MME.05200620,Gavin McKenney,39.92586710090244,-83.11756633554553
MMD.0700018,Medical Marijuana Dispensary - Certificate of Operation,Active,,Bloom Medicinals,382 Blackbrook Rd,Painesville,OH,44077-1294,Lake,(440) 299-1019,,2019.05.16,2023.07.02,2025.07.01,No,MME.05200525,Christopher James Chagnon,39.92586710090244,-83.11756633554553
MMD.0700031,Medical Marijuana Dispensary - Certificate of Operation,Active,,Bloom Medicinals,403 S Main St,Seven Mile,OH,45011,Butler,(513) 447-6459,Bloom Medicinals,2019.09.10,2023.07.02,2025.07.01,No,MME.05201177,Abigail Jane McFall,41.72321110743085,-81.2834518839287
MMD.0700045,Medical Marijuana Dispensary - Certificate of Operation,Active,,Bloom Medicinals,737 E North St,Akron,OH,44305-1115,Summit,(567) 213-5101,,2019.10.29,2023.07.02,2025.07.01,No,MME.05200868,Amanda Rhea Scharon,41.0879755,-81.49116467041935
MMD.0700030,Medical Marijuana Dispensary - Certificate of Operation,Active,,Bloom Medicinals,1238 Conant St,Maumee,OH,43537-1608,Lucas,(567) 296-9082,,2019.09.04,2023.07.02,2025.07.01,No,MME.05200955,Austin James Leite,41.57126966574167,-83.65834955623589
MMD.0700054,Medical Marijuana Dispensary - Certificate of Operation,Active,,Body and Mind,709 Sugar Ln,Elyria,OH,44035-6313,Lorain,(440) 252-4046,,2020.09.04,2023.07.02,2025.07.01,No,MME.05200203,Aaron Jerue Maholtz,41.35981786666667,-82.0731494
MMD.0700171,Medical Marijuana Dispensary - Certificate of Operation,Active,,Body and Mind,709 Sugar Ln,Elyria,OH,44035-6313,Lorain,4072565307,,2023.10.11,2023.10.11,2025.07.01,No,MME.05200203,Aaron Jerue Maholtz,41.35981786666667,-82.0731494
MMD.0700071,Medical Marijuana Dispensary - Certificate of Operation,Active,,"Cannascend Alternative Logan, LLC",245 W Main St,Logan,OH,43138-1607,Hocking,(740) 300-1821,,2021.06.30,2023.07.02,2025.07.01,No,MME.05200387,STEPHANIE ANNE THOMAS,39.540286615703664,-82.41256839319543
MMD.0700073,Medical Marijuana Dispensary - Certificate of Operation,Active,,"Cannascend Alternative, LLC",333 Wayne Ave,Dayton,OH,45410-1115,Montgomery,(937) 233-0642,,2021.06.30,2023.07.02,2025.07.01,No,MME.05200656,Amanda Goins,39.7556205,-84.1810377747592
MMD.0700072,Medical Marijuana Dispensary - Certificate of Operation,Active,,"Cannascend Alternative, LLC",300 N Main St,Monroe,OH,45050-1495,Butler,(513) 506-1857,,2021.06.30,2023.07.02,2025.07.01,No,MME.05200857,Sean Patrick Flannery,43.11524166666667,-77.88438296666666
MMD.0700070,Medical Marijuana Dispensary - Certificate of Operation,Active,,"Cannascend Alternative, LLC",414 Greene St,Marietta,OH,45750-3214,Washington,(740) 238-7603,,2021.06.30,2023.07.02,2025.07.01,No,MME.05200199,Cory William Davis,39.413191806392724,-81.44770968307412
MMD.0700115,Medical Marijuana Dispensary - Certificate of Operation,Active,,Consume Oxford,3620 Southpoint Pkwy,Oxford,OH,45056-8006,Butler,(513) 280-7376,,2023.02.06,2023.02.06,2025.07.01,No,MME.05200981,DEANNA LYNN EVANS,39.413191806392724,-81.44770968307412
MMD.0700112,Medical Marijuana Dispensary - Certificate of Operation,Active,,Culture Cannabis Club,1568 E Archwood Ave,Akron,OH,44306-3212,Summit,(804) 806-5240,,2023.10.06,2023.10.06,2025.07.01,No,MME.05200650,Jacqueline W Turkovich,41.04760319565217,-81.47554935869564
MMD.0700091,Medical Marijuana Dispensary - Certificate of Operation,Active,,Curaleaf,1150 N 21st St,Newark,OH,43055-2924,Licking,(781) 451-0150,,2021.12.30,2023.07.02,2025.07.01,No,MME.05200079,Amy Marie LeMaster,40.07962731691229,-82.42817588587859
MMD.0700090,Medical Marijuana Dispensary - Certificate of Operation,Active,,Curaleaf,1220 Buchholzer Blvd Ste C,Cuyahoga Falls,OH,44221-5179,Summit,7814510150,,2021.12.30,2023.07.02,2025.07.01,No,MME.05200852,Courtney McDaniel,40.07962731691229,-82.42817588587859
MMD.0700154,Medical Marijuana Dispensary - Certificate of Operation,Active,,Debbie's Dispensary,"1100 McArthur Rd NW, Suite 1122",Jeffersonville,OH,43128-1091,Fayette,(740) 488-0150,,2023.08.10,2023.08.10,2025.07.01,No,MME.05201699,Johnny Jaden McFadden,44.933143,7.540121
MMD.0700117,Medical Marijuana Dispensary - Certificate of Operation,Active,,Debbie's Dispensary,544 Richland Ave,Athens,OH,45701-3703,Athens,(740) 249-4143,,2023.08.14,2023.08.14,2025.07.01,No,MME.05201464,Amanda Jayne Coy,39.304922902458436,-82.10323988027181
MMD.0700107,Medical Marijuana Dispensary - Certificate of Operation,Active,,Elevated Growth,7520 High Cross Blvd,Columbus,OH,43235-5681,Franklin,(614) 505-0015,,2023.10.02,2023.10.02,2025.07.01,No,MME.05200178,Darius Bobo,40.1164399,-83.01165900245579
MMD.0700093,Medical Marijuana Dispensary - Certificate of Operation,Active,,Ethos,1525 Genntown Dr Ste B5,Lebanon,OH,45036-7323,Warren,(856) 364-7413,,2022.04.25,2023.07.02,2025.07.01,No,MME.05200888,Alisha Rene Batac,40.1164399,-83.01165900245579
MMD.0700007,Medical Marijuana Dispensary - Certificate of Operation,Active,,FARMACEUTICALRX LLC,1865 Dresden Ave,East Liverpool,OH,43920-9059,Columbiana,(724) 655-3335,234-206-4042,2019.02.06,2023.07.02,2025.07.01,No,MME.05200982,Jessica Winters,40.6240041,-80.5804563
MMD.0700065,Medical Marijuana Dispensary - Certificate of Operation,Active,,Firelands Scientific,2300 University Dr E,Huron,OH,44839-9173,Erie,(419) 616-5112,,2021.05.21,2023.07.02,2025.07.01,No,MME.05200509,Matthew James Neiding,41.396788,-82.5877233
MMD.0700157,Medical Marijuana Dispensary - Certificate of Operation,Active,,Good River Wellness,27101 Euclid Ave,Euclid,OH,44132-3409,Cuyahoga,(216) 331-5726,,2023.10.26,2023.10.26,2025.07.01,No,MME.05200362,Kody F Miller,41.591196,-81.496727
MMD.0700074,Medical Marijuana Dispensary - Certificate of Operation,Active,,"Green Leaf Medical of Ohio II, LLC",2932 Youngstown Rd SE,Warren,OH,44484-5281,Trumbull,(330) 469-9499,,2021.06.11,2023.07.02,2025.07.01,No,MME.05200274,ABIGAIL JOY NICOLAUS,41.22103,-80.782032
MMD.0700151,Medical Marijuana Dispensary - Certificate of Operation,Active,,Green Leaf Therapy,93 S Bridge St,Struthers,OH,44471-1949,Mahoning,(330) 333-3170,,2023.04.25,2023.04.25,2025.07.01,No,MME.05100409,Cory Groner,41.05733410204082,-80.5872762244898
MMD.0700124,Medical Marijuana Dispensary - Certificate of Operation,Active,,Green Releaf,3620 Germantown St,Dayton,OH,45417-4130,Montgomery,(937) 938-1128,,2023.04.04,2023.04.04,2025.07.01,No,MME.05100305,SANJAYKUMAR ARVINDKUMAR PATEL,39.724032,-84.267023
MMD.0700081,Medical Marijuana Dispensary - Certificate of Operation,Active,,"Greenleaf Apothecaries, LLC",115 Vine St,Columbus,OH,43215-2307,Franklin,(614) 924-2155,,2021.10.01,2023.07.02,2025.07.01,No,MME.05200442,Erik Gott,39.9714688,-83.0058194
MMD.0700084,Medical Marijuana Dispensary - Certificate of Operation,Active,,"Greenleaf Apothecaries, LLC",3840 Greentree Ave SW,Canton,OH,44706-4025,Stark,(330) 623-7430,,2021.10.01,2023.07.02,2025.07.01,No,MME.05200968,Carl Rocco Palladino,39.9714688,-83.0058194
MMD.0700083,Medical Marijuana Dispensary - Certificate of Operation,Active,,"Greenleaf Apothecaries, LLC",30133 Euclid Ave,Wickliffe,OH,44092-1652,Lake,440-671-0420,,2021.10.01,2023.07.02,2025.07.01,No,MME.05200336,DeAnna Hoffart,41.61615895,-81.46180649462025
MMD.0700082,Medical Marijuana Dispensary - Certificate of Operation,Active,,"Greenleaf Apothecaries, LLC",3865 Lakeside Ave E,Cleveland,OH,44114-3843,Cuyahoga,(216) 930-6550,,2021.10.01,2023.07.02,2025.07.01,No,MME.05200479,GYEN JAMES MUSGRAVE,41.51786482417333,-81.66765523756288
MMD.0700080,Medical Marijuana Dispensary - Certificate of Operation,Active,,"Greenleaf Apothecaries, LLC",46 S Summit St,Akron,OH,44308-1719,Summit,(330) 368-2144,,2021.10.01,2023.07.02,2025.07.01,No,MME.05201015,NANCY LOUISE MITCHNER,41.0828679,-81.5143582
MMD.0700026,Medical Marijuana Dispensary - Certificate of Operation,Active,,"GTI Ohio, LLC",1222 Prospect Ave E,Cleveland,OH,44115-1210,Cuyahoga,(216) 243-0165,,2019.07.30,2023.07.02,2025.07.01,No,MME.05200490,Brandon James Lhotsky,41.4993905,-81.6821647
MMD.0700047,Medical Marijuana Dispensary - Certificate of Operation,Active,,"GTI Ohio, LLC",11818 Madison Ave,Lakewood,OH,44107-5252,Cuyahoga,(216) 273-0088,,2019.12.18,2023.07.02,2025.07.01,No,MME.05200503,Joel Gibson,41.476974204081635,-81.77071720408163
MMD.0700052,Medical Marijuana Dispensary - Certificate of Operation,Active,,"GTI Ohio, LLC",18607 Detroit Ave,Lakewood,OH,44107-3205,Cuyahoga,(216) 273-0062,,2020.03.11,2023.07.02,2025.07.01,No,MME.05200161,VICTORIA LEE UGUCCINI,41.4852471,-81.8107073
MMD.0700015,Medical Marijuana Dispensary - Certificate of Operation,Active,,"GTI Ohio, LLC",3157 W Sylvania Ave,Toledo,OH,43613-4131,Lucas,(419) 365-2558,,2019.05.01,2023.07.02,2025.07.01,No,MME.05200494,TIFFANY LAREA BROSE,41.691798285714285,-83.61900071428572
MMD.0700016,Medical Marijuana Dispensary - Certificate of Operation,Active,,"GTI Ohio, LLC",1920 Cooper Foster Park Rd W,Lorain,OH,44053-3607,Lorain,(440) 363-0237,,2019.05.01,2023.07.02,2025.07.01,No,MME.05200382,CHRISTOPHER BRIAN SMURTHWAITE,41.4182086,-82.1741749
MMD.0700118,Medical Marijuana Dispensary - Certificate of Operation,Active,,Guaranteed Dispensary,1910 Wayne Ave,Dayton,OH,45410-2133,Montgomery,(937) 401-2550,,2023.05.12,2023.05.12,2025.07.01,No,MME.05200089,SARA A HAWKINS,39.743022,-84.167257
MMD.0700096,Medical Marijuana Dispensary - Certificate of Operation,Active,,Herbal Wellness Center,3 Acy Ave Ste A,Jackson,OH,45640-8551,Jackson,(740) 577-9367,,2022.12.12,2023.07.02,2025.07.01,No,MME.05201244,Justus Joey Miller,39.50714403419643,-84.39175737200898
MMD.0700131,Medical Marijuana Dispensary - Certificate of Operation,Active,,Insa,27751 Chardon Rd,Willoughby Hills,OH,44092-2701,Lake,(440) 373-5005,,2023.05.02,2023.05.02,2025.07.01,No,MME.05201071,Michael Becker,41.5834257,-81.48449526671826
MMD.0700114,Medical Marijuana Dispensary - Certificate of Operation,Active,,Italian Herbs,2712 W Prospect Rd,Ashtabula,OH,44004-6336,Ashtabula,(440) 990-1600,,2023.04.12,2023.04.12,2025.07.01,No,MME.05100284,Jessica Laurello,41.8629049,-80.7977754
MMD.0700020,Medical Marijuana Dispensary - Certificate of Operation,Active,,Leaf Relief,4323 Market St,Youngstown,OH,44512-1509,Mahoning,(330) 333-3925,,2019.06.20,2023.07.02,2025.07.01,No,MME.05100140,Herbert Terrell Washington,41.0556517755102,-80.66268210204082
MMD.0700130,Medical Marijuana Dispensary - Certificate of Operation,Active,,Main Street Medical Cannabis,3111 E Main St,Columbus,OH,43209-2618,Franklin,(614) 670-4384,,2023.10.31,2023.10.31,2025.07.01,No,MME.05201744,Scott Damopoulos,39.956501,-82.914993
MMD.0700078,Medical Marijuana Dispensary - Certificate of Operation,Active,,Mavuno,711 W Union St,Athens,OH,45701-9410,Athens,(216) 312-9900,,2021.09.01,2023.07.02,2025.07.01,No,MME.05200798,Darryl Render,39.330841779946006,-82.1256239572349
MMD.0700079,Medical Marijuana Dispensary - Certificate of Operation,Active,,Mavuno,4370 Tonawanda Trl,Beavercreek,OH,45430-1951,Greene,(216) 312-9900,,2021.09.21,2023.07.02,2025.07.01,No,MME.05200803,Noah Benjamin Tucker,39.69777891574678,-84.09955878125338
MMD.0700077,Medical Marijuana Dispensary - Certificate of Operation,Active,,Mavuno,2950 N High St,Columbus,OH,43202-1104,Franklin,(216) 312-9900,,2021.08.12,2023.07.02,2025.07.01,No,MME.05201466,Aris Troy,40.0223515,-83.01314
MMD.0700150,Medical Marijuana Dispensary - Certificate of Operation,Active,,Nar Reserve,350 E Long St,Columbus,OH,43215-1827,Franklin,(380) 241-6151,,2023.06.22,2023.06.22,2025.07.01,No,MME.05100355,ALI BAZZI,39.96619042105263,-82.9912805
MMD.0700132,Medical Marijuana Dispensary - Certificate of Operation,Active,,Nectar Medical Cannabis Dispensary,1011 S Main St,Bowling Green,OH,43402-4720,Wood,(419) 819-4222,,2023.03.10,2023.03.10,2025.07.01,No,,,41.3595833,-83.6498905
MMD.0700136,Medical Marijuana Dispensary - Certificate of Operation,Active,,Nectar Medical Cannabis Dispensary,3405 Werk Rd,Cincinnati,OH,45211-6832,Hamilton,(503) 912-6797,,2023.05.15,2023.05.15,2025.07.01,No,MME.05201186,Justin Mack,39.14095305,-84.6171401387908
MMD.0700164,Medical Marijuana Dispensary - Certificate of Operation,Active,,Nectar Medical Cannabis Dispensary,21100 Saint Clair Ave,Euclid,OH,44117-1022,Cuyahoga,(216) 400-6889,,2023.04.17,2023.04.17,2025.07.01,No,,,41.582648906218644,-81.53293804120166
MMD.0700102,Medical Marijuana Dispensary - Certificate of Operation,Active,,Ohio Cannabis Company,17043 County Highway 113,Harpster,OH,43323-9308,Wyandot,(740) 496-8420,,2023.03.15,2023.03.15,2025.07.01,No,MME.05100269,Michele Minehart,41.582648906218644,-81.53293804120166
MMD.0700108,Medical Marijuana Dispensary - Certificate of Operation,Active,,Ohio Cannabis Company,8866 N County Road 25a,Piqua,OH,45356-8504,Miami,(937) 641-0620,,2023.06.01,2023.06.01,2025.07.01,No,MME.05201393,Lance A England,40.1650393445569,-84.22761297594948
MMD.0700141,Medical Marijuana Dispensary - Certificate of Operation,Active,,Ohio Cannabis Company,4016 Greentree Ave SW,Canton,OH,44706-4015,Stark,(330) 409-9577,,2023.07.19,2023.07.19,2025.07.01,No,MME.05201594,Gerald David Contrucci,40.1650393445569,-84.22761297594948
MMD.0700089,Medical Marijuana Dispensary - Certificate of Operation,Active,,Ohio Provisions,23024 County Road 621 Ste 1,Coshocton,OH,43812-8969,Coshocton,(740) 295-9182,,2021.12.21,2023.07.02,2025.07.01,No,MME.05200558,Michelle Ann Ashcraft,44.933143,7.540121
MMD.0700075,Medical Marijuana Dispensary - Certificate of Operation,Active,,Ohio Provisions,3560 Dolson Ct Ste B,Carroll,OH,43112-8701,Fairfield,(740) 993-0444,,2021.10.01,2023.07.02,2025.07.01,No,MME.05200791,Haley Grayson,44.933143,7.540121
MMD.0700003,Medical Marijuana Dispensary - Certificate of Operation,Active,,OHIO VALLEY NATURAL RELIEF LLC,840 Canton Rd,Wintersville,OH,43953-4110,Jefferson,(740) 792-4267,7407924610,2019.01.14,2023.07.02,2025.07.01,No,MME.05200733,Sarah Kay Davis,40.39025872149711,-80.72349723909387
MMD.0700127,Medical Marijuana Dispensary - Certificate of Operation,Active,,Pure Iconic,5280 College Corner Pike,Oxford,OH,45056-1047,Butler,(513) 273-1460,,2023.04.27,2023.04.27,2025.07.01,No,MME.05201344,William John Pesenecker,39.5116997,-84.7494209
MMD.0700046,Medical Marijuana Dispensary - Certificate of Operation,Active,,Pure Ohio Wellness,1875 Needmore Rd,Dayton,OH,45414-3805,Montgomery,(937) 519-1420,,2019.11.04,2023.07.02,2025.07.01,No,MME.05200188,Melinda Jo Metcalf,39.81968371361788,-84.20198068158575
MMD.0700055,Medical Marijuana Dispensary - Certificate of Operation,Active,,Pure Ohio Wellness,920 US 42 W,London,OH,43140,Madison,(740) 910-5420,,2020.09.15,2023.07.02,2025.07.01,No,MME.05200662,Jennifer R Cron,39.88024,-83.458649
MMD.0700100,Medical Marijuana Dispensary - Certificate of Operation,Active,,Ratio,1145 W High Ave,New Philadelphia,OH,44663-9618,Tuscarawas,(234) 801-4282,,2023.02.14,2023.02.14,2025.07.01,No,MME.05100387,Luke Joseph Marino,40.49324076711479,-81.46841942419869
MMD.0700137,Medical Marijuana Dispensary - Certificate of Operation,Active,,Saphyre,4066 Morse Rd,Columbus,OH,43230-1448,Franklin,(614) 333-0456,,2023.08.08,2023.08.08,2025.07.01,No,MME.05100318,Jacqueline Solomon,40.057756918367346,-82.90914553061225
MMD.0700110,Medical Marijuana Dispensary - Certificate of Operation,Active,,Shangri-La Dispensary,100 Clarence F Warner Dr,Monroe,OH,45050-3200,Butler,(513) 402-7040,,2023.07.05,2023.07.05,2025.07.01,No,MME.05201467,Austin Garrett Wiesman,40.057756918367346,-82.90914553061225
MMD.0700106,Medical Marijuana Dispensary - Certificate of Operation,Active,,Shangri-La Dispensary,211 Brooks Dr,Monroe,OH,45050-1883,Butler,(513) 360-7085,,2023.05.23,2023.05.23,2025.07.01,No,MME.05200775,jarrod Douglas Russell,39.1540073,-86.5065806
MMD.0700159,Medical Marijuana Dispensary - Certificate of Operation,Active,,Shangri-La Dispensary,4618 Saint Clair Ave,Cleveland,OH,44103-1206,Cuyahoga,(216) 471-0426,,2023.08.28,2023.08.28,2025.07.01,No,MME.05201698,Jimmie Dionte Dawson,41.51823627272727,-81.66028128282828
MMD.0700103,Medical Marijuana Dispensary - Certificate of Operation,Active,,Southern Ohio Botanicals,15451 Us Highway 23,Waverly,OH,45690-9338,Pike,(740) 496-4186,,2023.05.19,2023.05.19,2025.07.01,No,MME.05100271,JOSHUA WAYNE SMITH,41.51823627272727,-81.66028128282828
MMD.0700122,Medical Marijuana Dispensary - Certificate of Operation,Active,,Story of Cincinnati,3950 Edwards Rd,Cincinnati,OH,45209-1928,Hamilton,(513) 818-0108,,2023.09.07,2023.09.07,2025.07.01,No,MME.05200999,Virginia Lynn Penick,39.15148465517241,-84.44214162068965
MMD.0700147,Medical Marijuana Dispensary - Certificate of Operation,Active,,Story of Cincinnati II,3944 Edwards Rd,Cincinnati,OH,45209-1928,Hamilton,(513) 818-0108,,2023.08.22,2023.08.22,2025.07.01,No,MME.05201039,Sophie Dowrey,39.15140986206896,-84.44214844827587
MMD.0700139,Medical Marijuana Dispensary - Certificate of Operation,Active,,Story of Coshocton,115 N 2nd St,Coshocton,OH,43812-1560,Coshocton,(220) 666-0432,,2023.05.25,2023.05.25,2025.07.01,No,MME.05200076,Tasha Broadwater,40.27403914285715,-81.86893671428572
MMD.0700076,Medical Marijuana Dispensary - Certificate of Operation,Active,,Strawberry Fields,2950 E Main St,Columbus,OH,43209-2615,Franklin,(513) 362-4325,,2021.07.09,2023.07.02,2025.07.01,No,MME.05200386,CHRISTOPHER A JARRETT,39.95679581418788,-82.91963198073054
MMD.0700061,Medical Marijuana Dispensary - Certificate of Operation,Active,,Sunnyside,1546 W Church St,Newark,OH,43055-1532,Licking,(740) 616-8097,,2021.02.15,2023.07.02,2025.07.01,No,MME.05201112,michael lee craycraft,40.058207,-82.44772580966541
MMD.0700064,Medical Marijuana Dispensary - Certificate of Operation,Active,,Sunnyside,1641 N Bridge St,Chillicothe,OH,45601-4106,Ross,(740) 617-8910,,2021.02.15,2023.07.02,2025.07.01,No,MME.05201045,Andrea Nicole Merkamp,39.36999823414172,-82.97571895298856
MMD.0700002,Medical Marijuana Dispensary - Certificate of Operation,Active,,Sunnyside,180 Main St,Wintersville,OH,43953-3734,Jefferson,(740) 617-8649,,2018.12.12,2023.07.02,2025.07.01,Yes,MME.05200431,Karajeanne Trotter Zinsmeister,40.371537482517326,-80.68786139906227
MMD.0700063,Medical Marijuana Dispensary - Certificate of Operation,Active,,Sunnyside,5149 Kennedy Ave,Cincinnati,OH,45213-2617,Hamilton,(513) 964-1106,,2021.02.15,2023.07.02,2025.07.01,No,MME.05201841,Hayley Elizabeth Amacendes,39.166096022409135,-84.42051104548484
MMD.0700062,Medical Marijuana Dispensary - Certificate of Operation,Active,,Sunnyside,326 James Way,Marion,OH,43302-5982,Marion,(740) 617-8913,,2021.02.15,2023.07.02,2025.07.01,No,MME.05200183,Julie Ann Austin,40.578068029546685,-83.07849291440826
MMD.0700125,Medical Marijuana Dispensary - Certificate of Operation,Active,,Supergood,554 N Chestnut St,Ravenna,OH,44266-2259,Portage,(234) 703-0150,,2023.04.04,2023.04.04,2025.07.01,No,MME.05201571,Ruth A Miller,41.164876,-81.24255066666666
MMD.0700085,Medical Marijuana Dispensary - Certificate of Operation,Active,,Terrasana,183 Raydo Cir,Springfield,OH,45506-3556,Clark,937-230-6505,,2021.10.19,2023.07.02,2025.07.01,No,MME.05200627,Megan Nicole Suttles,39.8936948,-83.8160761
MMD.0700088,Medical Marijuana Dispensary - Certificate of Operation,Active,,Terrasana,1800 E State St,Fremont,OH,43420-4000,Sandusky,419-463-2703,,2021.10.19,2023.07.02,2025.07.01,No,MME.05200086,Carey Charisa Rasp,41.34256755,-83.0857432031754
MMD.0700087,Medical Marijuana Dispensary - Certificate of Operation,Active,,Terrasana,656 Grandview Ave,Columbus,OH,43215-1120,Franklin,614-434-6929,,2021.10.19,2023.07.02,2025.07.01,No,MME.05201074,DANETTE MARIE FARLOW,39.971039115515204,-83.0457912598261
MMD.0700086,Medical Marijuana Dispensary - Certificate of Operation,Active,,Terrasana,10500 Antenucci Blvd Ste 200,Garfield Heights,OH,44125,Cuyahoga,216-232-2527,,2021.10.19,2023.07.02,2025.07.01,No,MME.05200511,Jaci Lynn Atkins,39.971039115515204,-83.0457912598261
MMD.0700101,Medical Marijuana Dispensary - Certificate of Operation,Active,,The Citizen by Klutch,5152 Grove Ave,Lorain,OH,44055-3610,Lorain,(440) 766-1040,,2023.01.11,2023.01.11,2025.07.01,No,MME.05200109,LAUREN ROSE DELANDE,41.42207001010101,-82.11964423232322
MMD.0700128,Medical Marijuana Dispensary - Certificate of Operation,Active,,The Citizen by Klutch,401 Cherry Ave NE,Canton,OH,44702-1154,Stark,(330) 617-1300,,2023.06.23,2023.06.23,2025.07.01,No,MME.05200029,RONY SINHAROY,40.80018470526316,-81.37037904210526
MMD.0700104,Medical Marijuana Dispensary - Certificate of Operation,Active,,The Forest Cincinnati,4412 Mount Carmel Tobasco Rd,Cincinnati,OH,45244-2201,Clermont,(513) 676-0775,,2023.08.28,2023.08.28,2025.07.01,No,MME.05200402,Andre Foster Lopez,40.80018470526316,-81.37037904210526
MMD.0700006,Medical Marijuana Dispensary - Certificate of Operation,Active,,"THE FOREST SANDUSKY, LLC",5020 Milan Rd,Sandusky,OH,44870-5844,Erie,(419) 405-6863,,2019.01.14,2023.07.02,2025.07.01,No,MME.05200750,Emily Davenport,41.4398642,-82.6953936
MMD.0700056,Medical Marijuana Dispensary - Certificate of Operation,Active,,"The Forest Springfield, LLC",1711 W Main St,Springfield,OH,45504-2835,Clark,(937) 441-4442,,2020.10.29,2023.07.02,2025.07.01,No,MME.05200514,Keisha Lee Karg,39.925990081632655,-83.83850226530612
MMD.0700095,Medical Marijuana Dispensary - Certificate of Operation,Active,,The Landing Dispensary,1978 W 3rd St,Cleveland,OH,44113-2525,Cuyahoga,(216) 770-4089,,2022.12.06,2022.12.06,2025.07.01,No,MME.05200596,Cody Douglas Loyd,41.491611125000006,-81.6891605
MMD.0700143,Medical Marijuana Dispensary - Certificate of Operation,Active,,The Landing Dispensary,724 W Gay St,Columbus,OH,43222-1255,Franklin,(614) 547-3750,,2023.07.24,2023.07.24,2025.07.01,No,MME.05200208,MARY A GANT,39.9635995,-83.0010619
MMD.0700121,Medical Marijuana Dispensary - Certificate of Operation,Active,,The Landing Dispensary,1312 SR-63,Monroe,OH,45050,Warren,(513) 823-9787,,2023.05.16,2023.05.16,2025.07.01,No,MME.05200349,Katie Lynn Combs,39.4399129,-84.3338463
